year,edition,idno,cntry,gndr,yrbrn,agea,eisced,edlvdfr,ppltrst,trstplt,pplfair,pplhlp,ecohenv,scnsenv,stflife,stfdem,trstprl,education
2023,4.1,74721,FR,1,1958,66,4,9,5,2,5,5,,,10,10,1,High school diploma or less
2023,4.1,74723,FR,1,1972,52,7,19,4,2,5,2,,,3,2,8,Masters degree or more
2023,4.1,74730,FR,1,1972,51,6,18,5,5,5,3,,,6,7,5,"Undergraduate degree (licence, licence pro)"
2023,4.1,74753,FR,1,1983,40,5,13,6,3,6,5,,,7,5,4,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,74820,FR,1,2004,19,2,5,5,5,6,5,,,6,6,6,High school diploma or less
2023,4.1,74839,FR,2,1999,24,7,22,5,7,8,6,,,7,2,7,Masters degree or more
2023,4.1,74861,FR,1,1987,36,2,5,3,2,5,5,,,10,0,5,High school diploma or less
2023,4.1,74876,FR,2,1980,43,3,8,2,4,5,8,,,5,3,1,High school diploma or less
2023,4.1,74905,FR,2,1969,54,2,5,5,2,8,5,,,8,4,3,High school diploma or less
2023,4.1,74911,FR,1,1960,63,4,9,6,3,6,5,,,10,5,2,High school diploma or less
2023,4.1,74915,FR,2,1981,42,7,20,8,7,8,6,,,8,8,7,Masters degree or more
2023,4.1,74919,FR,2,1976,47,5,15,4,3,7,4,,,10,0,0,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,74931,FR,2,1987,36,7,20,6,3,7,3,,,8,3,4,Masters degree or more
2023,4.1,74944,FR,2,1979,44,7,22,0,3,3,3,,,7,1,6,Masters degree or more
2023,4.1,74951,FR,1,1960,63,1,4,0,0,5,3,,,7,0,0,High school diploma or less
2023,4.1,74966,FR,2,1958,65,3,7,6,3,6,8,,,9,6,4,High school diploma or less
2023,4.1,74986,FR,1,1963,60,7,26,0,0,0,2,,,5,0,0,Masters degree or more
2023,4.1,75007,FR,1,1998,25,2,5,5,0,5,9,,,10,9,1,High school diploma or less
2023,4.1,75036,FR,2,2005,18,4,11,3,4,4,2,,,5,88,3,High school diploma or less
2023,4.1,75065,FR,1,1947,76,3,7,0,5,7,8,,,8,0,5,High school diploma or less
2023,4.1,75070,FR,2,2006,17,2,6,4,2,6,3,,,7,4,2,High school diploma or less
2023,4.1,75122,FR,1,1990,33,5,15,7,3,7,5,,,9,7,6,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,75125,FR,1,1985,38,5,15,3,7,7,4,,,6,7,7,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,75140,FR,2,2003,20,5,14,3,3,10,5,,,6,2,4,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,75144,FR,1,1999,24,3,7,3,3,6,2,,,8,4,3,High school diploma or less
2023,4.1,75157,FR,1,1965,58,5,15,6,6,7,2,,,7,1,2,"Short-cycle tertiary (BTS, DUT)"
2023,4.1,75171,FR,1,1997,26,4,10,3,1,5,2,,,6,88,5,High school diploma or less
2023,4.1,75172,FR,1,1962,61,7,25,5,5,9,9,,,5,5,5,Masters degree or more
2023,4.1,75177,FR,1,1968,55,4,11,6,2,6,4,,,9,9,8,High school diploma or less
2023,4.1,75191,FR,2,2006,17,2,6,5,5,7,6,,,8,8,6,High school diploma or less
2023,4.1,75209,FR,1,1981,42,4,9,2,2,6,6,,,8,1,4,High school diploma or less
